ticket_id,subject,body,priority,department
TKT-10629,Order not received,My order #700115 was supposed to arrive by March 10 but I still haven't received it. Tracking number 1Z9999930 shows it's been in transit for 10 days.,Medium,Shipping
TKT-11860,Shipping delay affecting our project,Order #700109 with USB-C hub was supposed to arrive March 10. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Low,Shipping
TKT-10122,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 50MB. Using Chrome on macOS Ventura.",Low,Technical
TKT-10737,Cannot connect to API,Our integration is returning TIMEOUT_408 errors when calling the /v2/data endpoint. This started around 2:15 PM UTC today. API key is still valid. Please check server-side logs.,Medium,Technical
TKT-10289,Order not received,My order #700128 was supposed to arrive by last Monday but I still haven't received it. Tracking number 1Z9999920 shows it's been in transit for 14 days.,Medium,Shipping
TKT-11438,Add team members,I need to add 15 new users to our Business plan. Their email addresses are attached. Please confirm if this affects our pricing.,Low,Account
TKT-11132,Mobile app sync issues,Changes made in the mobile app on Android 14 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.1.2.,Urgent,Technical
TKT-11657,Slow dashboard loading,"The analytics dashboard takes over 90 seconds to load. This happens in both Chrome and Edge. Other pages load normally. Our dataset has about 50,000 rows.",High,Technical
TKT-11106,Need to update payment method,I'd like to update the credit card on file for account AC-100012. My current card ending in 5678 has expired.,Medium,Billing
TKT-10318,Upgrade plan request,I'd like to upgrade from the Business to the Business plan. We currently have 10 users and need the additional features. What's the process?,Low,Account
TKT-10040,Documentation unclear,The docs for the advanced analytics API endpoint are missing examples for compliance reporting. I've spent 3 hours trying to figure out the correct request format. Can you provide a working example?,Medium,Product
TKT-10729,Wrong item shipped,I ordered wireless keyboard but received headset instead. Order #700149. I need the correct item sent and a return label for the wrong one.,Low,Shipping
TKT-11124,International shipping inquiry,I'm trying to place an order for delivery to Germany. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Medium,Shipping
TKT-10153,Upgrade plan request,I'd like to upgrade from the Growth to the Professional plan. We currently have 10 users and need the additional features. What's the process?,Low,Account
TKT-11973,Following up,I contacted you March 10 about a problem but haven't heard back. My ticket was about monitor stand and charges on my account. Reference AC-100045.,High,Billing
TKT-10464,Damaged package,My order #700129 arrived with significant damage to the packaging and the wireless keyboard inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-11383,Upgrade plan request,I'd like to upgrade from the Enterprise to the Premium plan. We currently have 50 users and need the additional features. What's the process?,Urgent,Account
TKT-11689,Return shipping label needed,I'd like to return order #700130 (docking station). It doesn't fit our requirements. Could you please email a prepaid return label to admin@techfirm.io?,High,Shipping
TKT-10704,Return shipping label needed,I'd like to return order #700110 (wireless keyboard). It doesn't fit our requirements. Could you please email a prepaid return label to jdoe@acmecorp.com?,Medium,Shipping
TKT-10553,Permission issue for team member,User maria.g@retailco.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Medium,Account
TKT-11500,Integration with third-party tool,Do you support integration with Slack? We use it heavily for compliance reporting and having a native connector would save us hours of manual data transfer each monthly.,Medium,Product
TKT-11043,Account merger request,We have two separate accounts (admin@techfirm.io and team@retailco.com) that need to be merged. The cto@startup.dev account was created by mistake. Please consolidate under jdoe@acmecorp.com.,Low,Account
TKT-11758,"Shipped to wrong address, need rebill",Order #700144 went to Austin instead of Miami. I need it reshipped and the extra charge on my PayPal reversed. Account AC-100037.,Medium,Shipping
TKT-10054,Change shipping address,"I need to update the shipping address for order #700103 from Seattle to Miami. The order hasn't shipped yet. New address: 123 Main St, Suite 400.",High,Shipping
TKT-11674,Order not received,My order #700127 was supposed to arrive by February 28 but I still haven't received it. Tracking number 1Z9999930 shows it's been in transit for 7 days.,Medium,Shipping
TKT-10986,Duplicate charge,I was charged twice for the same transaction on March 1. The duplicate charge is $149.00. Please refund the extra charge to my wire transfer.,Low,Billing
TKT-11573,Reset my password,I've been locked out of my account (admin@techfirm.io) after too many failed login attempts. The password reset email isn't arriving. Can you manually reset it?,Medium,Account
TKT-11735,"Shipped to wrong address, need rebill",Order #700100 went to Austin instead of Los Angeles. I need it reshipped and the extra charge on my PayPal reversed. Account AC-100027.,High,Shipping
TKT-11690,Onboarding guidance needed,We just signed up for the Enterprise plan with 25 users. Could you recommend the best way to onboard our team? We primarily need workflow automation and white-label options.,Low,Product
TKT-11640,Feature request: bulk import,"We'd love the ability to bulk import records via CSV upload. Currently we have to add entries one by one, which is impractical for our 50,000-record dataset.",Medium,Product
TKT-10961,Duplicate charge,I was charged twice for the same transaction on March 10. The duplicate charge is $99.95. Please refund the extra charge to my ACH.,Medium,Billing
TKT-10178,Change account owner,We need to transfer account ownership from ops@startup.dev to cto@startup.dev. John Doe has left the company and James Park will be the new admin.,Medium,Account
TKT-11954,Unhappy customer,"I've been having nothing but problems. The custom dashboards doesn't work, I was overcharged $199.50, and my last order #700116 never arrived. Please fix all of this.",Medium,Product
TKT-10705,Documentation unclear,The docs for the team collaboration API endpoint are missing examples for customer onboarding. I've spent 8 hours trying to figure out the correct request format. Can you provide a working example?,Medium,Product
TKT-10976,Duplicate charge,I was charged twice for the same transaction on last Monday. The duplicate charge is $199.50. Please refund the extra charge to my credit card.,Medium,Billing
TKT-11933,Need help,I have an issue with my account AC-100005. Something isn't working right. Can someone look into it?,Low,Account
TKT-10738,Permission issue for team member,User maria.g@retailco.com should have admin-level access but can only view dashboards. I've checked the role settings and they show 'Admin'. Please investigate.,Medium,Account
TKT-11521,Duplicate charge,I was charged twice for the same transaction on last Friday. The duplicate charge is $349.00. Please refund the extra charge to my wire transfer.,Urgent,Billing
TKT-10401,Promo code not applied,I entered promo code ANNUAL30 during checkout but the discount wasn't applied. I was charged the full $12.99. Please adjust my bill.,Medium,Billing
TKT-11756,Wrong amount on subscription renewal,My Starter plan renewed at $79.00 instead of $29.99. I didn't authorize any changes. Account AC-100027. Also the dashboard shows the old plan features.,Medium,Billing
TKT-11592,Application crashes on startup,"After the latest update, the desktop app crashes immediately on launch. I'm running Ubuntu 22.04 version 2.8.5. Error code: ERR_502. I've tried reinstalling but the issue persists.",High,Technical
TKT-11902,Following up,I contacted you March 1 about a problem but haven't heard back. My ticket was about docking station and charges on my account. Reference AC-100047.,Low,Billing
TKT-10926,Promo code not applied,I entered promo code WELCOME15 during checkout but the discount wasn't applied. I was charged the full $149.00. Please adjust my bill.,Low,Billing
TKT-11200,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every bi-weekly. I can't find this option in the Business plan. Is it available or do I need to upgrade?,High,Product
TKT-10988,Change account owner,We need to transfer account ownership from ops@startup.dev to jsmith@techfirm.io. Alex Kim has left the company and Lisa Wang will be the new admin.,High,Account
TKT-10962,Data export failing,"When I try to export reports as CSV, the download starts but fails at about 60%. File size should be around 120MB. Using Firefox on Windows 11.",High,Technical
TKT-11042,Slow dashboard loading,"The analytics dashboard takes over 30 seconds to load. This happens in both Safari and Edge. Other pages load normally. Our dataset has about 50,000 rows.",Medium,Technical
TKT-11519,Damaged package,My order #700116 arrived with significant damage to the packaging and the docking station inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-10656,Need to update payment method,I'd like to update the credit card on file for account AC-100009. My current card ending in 4242 has expired.,High,Billing
TKT-11792,Shipping delay affecting our project,Order #700130 with USB-C hub was supposed to arrive last Friday. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,High,Shipping
TKT-10135,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every bi-weekly. I can't find this option in the Enterprise plan. Is it available or do I need to upgrade?,Medium,Product
TKT-11751,Shipping delay affecting our project,Order #700136 with USB-C hub was supposed to arrive two days ago. Our team can't proceed without it. Can we get an updated ETA? Also considering canceling if delayed further.,Medium,Shipping
TKT-11092,Cannot connect to API,Our integration is returning AUTH_401 errors when calling the /v2/data endpoint. This started around 4:45 PM GMT today. API key is still valid. Please check server-side logs.,Low,Technical
TKT-10725,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every Monday morning. I can't find this option in the Enterprise plan. Is it available or do I need to upgrade?,Medium,Product
TKT-11779,Product feedback and bug report,"The new custom dashboards is great but it crashes when exporting to CSV on macOS Sonoma. Error: TIMEOUT_408. Also, it would be useful to add API rate limits support.",Medium,Technical
TKT-11328,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account maria.g@retailco.com. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-10268,Data deletion request,"Per our company policy, I'm requesting complete deletion of all data associated with account jdoe@acmecorp.com. Please confirm when this is done and provide a confirmation reference.",Low,Account
TKT-11286,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Enterprise plan.,High,Billing
TKT-11989,Need help,I have an issue with my account AC-100021. Something isn't working right. Can someone look into it?,Urgent,Account
TKT-10361,Need to update payment method,I'd like to update the credit card on file for account AC-100008. My current card ending in 3456 has expired.,High,Billing
TKT-10130,Integration with third-party tool,Do you support integration with Slack? We use it heavily for compliance reporting and having a native connector would save us hours of manual data transfer each monthly.,Low,Product
TKT-11526,Request for invoice copy,Could you please send me a copy of my invoice for July? I need it for my expense report. Account AC-100023.,High,Billing
TKT-11868,Wrong amount on subscription renewal,My Business plan renewed at $79.00 instead of $99.95. I didn't authorize any changes. Account AC-100000. Also the dashboard shows the old plan features.,Low,Billing
TKT-10412,Report generation timeout,"Generating the monthly summary report times out after 30 seconds. The report covers 100,000 records. This worked fine last month with similar data volume.",Low,Product
TKT-11371,Incorrect charge on my account,I noticed a charge of $49.00 on my last statement that I don't recognize. My account number is AC-100024. Please investigate and issue a refund if this is an error.,Urgent,Billing
TKT-10440,Feature request: bulk import,"We'd love the ability to bulk import records via CSV upload. Currently we have to add entries one by one, which is impractical for our 1,000,000-record dataset.",Medium,Product
TKT-11813,Product feedback and bug report,"The new team collaboration is great but it crashes when exporting to CSV on Windows 10. Error: TIMEOUT_408. Also, it would be useful to add role-based access support.",Medium,Technical
TKT-10632,Cannot connect to API,Our integration is returning RATE_LIMIT_429 errors when calling the /v2/data endpoint. This started around 11:00 AM PST today. API key is still valid. Please check server-side logs.,Low,Technical
TKT-10437,Report generation timeout,"Generating the monthly summary report times out after 30 seconds. The report covers 100,000 records. This worked fine last month with similar data volume.",High,Technical
TKT-11176,Billing cycle change request,Can I switch my billing cycle from monthly to annual? I'd like to take advantage of the yearly discount for the Starter plan.,High,Billing
TKT-11995,Following up,I contacted you yesterday about a problem but haven't heard back. My ticket was about wireless keyboard and charges on my account. Reference AC-100000.,Medium,Billing
TKT-10852,Mobile app sync issues,Changes made in the mobile app on iOS 17 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.1.2.,Low,Technical
TKT-11111,Payment not reflected,I made a payment of $199.50 on March 10 via PayPal but it still shows as outstanding on my account AC-100044. Can you confirm receipt?,High,Billing
TKT-11389,Damaged package,My order #700130 arrived with significant damage to the packaging and the monitor stand inside is broken. I've attached photos. Please send a replacement.,Medium,Shipping
TKT-11882,Technical issue with billing portal,The billing page returns ERR_502 on Chrome. I can't view or download invoices for account AC-100006. This has been happening since last Monday.,Medium,Technical
TKT-11750,Can't access account after plan change,I upgraded to Professional yesterday and now I get ERR_502 when I try to log in. My email is jdoe@acmecorp.com. Was the upgrade processed correctly?,Medium,Account
TKT-11977,Following up,I contacted you March 1 about a problem but haven't heard back. My ticket was about monitor stand and charges on my account. Reference AC-100005.,High,Billing
TKT-10679,Change shipping address,"I need to update the shipping address for order #700131 from Seattle to Boston. The order hasn't shipped yet. New address: 123 Main St, Suite 400.",Medium,Shipping
TKT-10305,Comparison with competitor,"I'm evaluating your product against Freshdesk. Can you provide a comparison of features, especially around workflow automation and API rate limits? We're a 500-person company.",Low,Product
TKT-11899,Product feedback and bug report,"The new team collaboration is great but it crashes when exporting to CSV on macOS Ventura. Error: NULL_REF_500. Also, it would be useful to add API rate limits support.",Medium,Technical
TKT-11745,Can't access account after plan change,I upgraded to Business yesterday and now I get ERR_502 when I try to log in. My email is ops@startup.dev. Was the upgrade processed correctly?,Low,Account
TKT-10941,Incorrect charge on my account,I noticed a charge of $12.99 on my last statement that I don't recognize. My account number is AC-100033. Please investigate and issue a refund if this is an error.,Medium,Billing
TKT-11696,Request for invoice copy,Could you please send me a copy of my invoice for April? I need it for my expense report. Account AC-100039.,Medium,Billing
TKT-10956,Payment not reflected,I made a payment of $49.00 on last Monday via wire transfer but it still shows as outstanding on my account AC-100025. Can you confirm receipt?,High,Billing
TKT-10431,Unexpected price increase,My monthly bill went from $99.95 to $199.00 without any prior notice. I'm on the Professional plan. Please explain this increase or revert it.,Medium,Billing
TKT-10668,Account merger request,We have two separate accounts (jdoe@acmecorp.com and jsmith@techfirm.io) that need to be merged. The team@retailco.com account was created by mistake. Please consolidate under ops@startup.dev.,Medium,Account
TKT-11856,Product feedback and bug report,"The new team collaboration is great but it crashes when exporting to CSV on macOS Sonoma. Error: NULL_REF_500. Also, it would be useful to add role-based access support.",High,Technical
TKT-10397,Mobile app sync issues,Changes made in the mobile app on Android 14 aren't syncing to the web version. I've checked my internet connection and it's stable. App version 4.0.0.,Low,Technical
TKT-11420,Beta feature feedback,"I've been testing the new custom dashboards beta. Overall it's great, but I found 2 issues: the filter doesn't apply to grouped views, and export drops the last column.",Medium,Product
TKT-10344,Return shipping label needed,I'd like to return order #700123 (docking station). It doesn't fit our requirements. Could you please email a prepaid return label to admin@techfirm.io?,Urgent,Shipping
TKT-10125,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every weekly. I can't find this option in the Business plan. Is it available or do I need to upgrade?,Low,Product
TKT-10088,Change account owner,We need to transfer account ownership from maria.g@retailco.com to backup@acmecorp.com. Maria Garcia has left the company and Rachel Adams will be the new admin.,High,Account
TKT-10479,International shipping inquiry,I'm trying to place an order for delivery to Japan. Your website says shipping is unavailable for my region. Do you have plans to expand international shipping?,Medium,Shipping
TKT-10589,Order not received,My order #700102 was supposed to arrive by March 15 but I still haven't received it. Tracking number 1Z9999940 shows it's been in transit for 14 days.,Low,Shipping
TKT-11375,Feature request: bulk import,"We'd love the ability to bulk import records via CSV upload. Currently we have to add entries one by one, which is impractical for our 1,000,000-record dataset.",Urgent,Product
TKT-10570,How to set up automated reports,I'm trying to configure scheduled reports to be emailed to my team every weekly. I can't find this option in the Business plan. Is it available or do I need to upgrade?,Urgent,Product
