campaign_id,channel,region,segment,quarter,spend_usd,impressions,clicks,leads_generated,conversions,revenue_usd,duration_days
CMP-0044,LinkedIn Ads,Southeast,Enterprise,2024-Q4,2118.87,237128,3609,375,26,503664.27,7
CMP-0045,LinkedIn Ads,International,SMB,2025-Q2,3884.25,346257,5521,1054,84,445704.76,45
CMP-0046,Google Ads,Southeast,Mid-Market,2024-Q3,4352.78,771601,22686,4493,217,1393912.36,21
CMP-0047,Trade Shows,Midwest,Mid-Market,2024-Q3,2738.68,308946,2357,137,17,451492.53,60
CMP-0048,Trade Shows,International,Mid-Market,2024-Q3,13434.88,1283019,7941,1533,130,3617392.12,30
CMP-0049,Email,West,Mid-Market,2025-Q1,896.93,154880,12881,1649,137,1725401.5,30
CMP-0050,Webinars,Northeast,Mid-Market,2025-Q1,5733.57,605210,47252,3329,194,3107682.55,21
CMP-0051,Webinars,West,Mid-Market,2024-Q3,2769.93,428370,38355,6879,616,8668358.31,14
CMP-0052,Email,Southeast,Mid-Market,2024-Q4,1249.07,135920,3969,243,14,154342.95,14
CMP-0053,Webinars,Midwest,Mid-Market,2025-Q2,2829.97,240276,12499,941,69,740412.94,7
CMP-0054,Google Ads,Northeast,Mid-Market,2024-Q4,4614.95,751532,12124,677,34,346100.46,7
CMP-0055,Webinars,International,Enterprise,2025-Q2,4421.25,451597,34009,2768,277,3775645.3,30
CMP-0056,LinkedIn Ads,Southeast,SMB,2024-Q4,7667.12,1303057,27015,1474,71,637755.89,21
CMP-0057,Google Ads,International,Enterprise,2025-Q1,2377.47,283631,7458,506,28,483739.02,30
CMP-0058,Content/SEO,International,Mid-Market,2025-Q2,4374.33,741242,25123,2882,91,716518.23,21
CMP-0059,Email,Southeast,Enterprise,2025-Q1,811.08,87975,4113,268,22,349399.38,14
CMP-0060,Google Ads,Northeast,Enterprise,2025-Q1,6094.97,491473,16427,3223,270,3830492.39,45
CMP-0061,Content/SEO,Midwest,Mid-Market,2025-Q1,1569.21,307814,8926,1398,57,435859.1,21
CMP-0062,Content/SEO,International,Mid-Market,2025-Q1,4783.78,412451,6359,639,19,199081.4,30
CMP-0063,Content/SEO,Midwest,Mid-Market,2024-Q4,229.76,44008,807,140,5,45811.78,14
CMP-0064,Google Ads,West,SMB,2025-Q2,5563.83,978925,38603,6708,212,740060.38,30
CMP-0065,Webinars,Northeast,SMB,2024-Q3,2748.82,455352,48412,8953,781,7288293.61,21
CMP-0066,Email,Northeast,SMB,2025-Q1,501.16,53865,2464,323,13,55780.76,30
CMP-0067,Content/SEO,West,SMB,2024-Q3,3705.82,551345,13650,2725,95,523184.03,30
CMP-0068,Google Ads,West,Mid-Market,2024-Q4,7784.19,718869,22737,2966,109,561991.38,30
CMP-0069,Email,International,Mid-Market,2025-Q2,1185.54,186055,11212,1727,91,962599.53,14
CMP-0070,Google Ads,Southeast,Mid-Market,2024-Q4,2718.31,526466,8387,612,28,380071.87,30
CMP-0071,Google Ads,West,Mid-Market,2025-Q2,8064.33,1537866,58745,9169,439,2796125.73,30
CMP-0072,LinkedIn Ads,International,Enterprise,2024-Q3,5274.43,493626,11231,2220,324,9714461.35,21
CMP-0073,Google Ads,Northeast,Enterprise,2024-Q3,6204.49,1181227,18841,1920,141,1723811.75,21
CMP-0074,Google Ads,West,SMB,2024-Q4,4486.69,584486,12590,2357,112,309764.45,30
CMP-0075,Google Ads,International,Mid-Market,2024-Q3,2901.78,579267,17643,2211,83,684124.19,30
CMP-0076,Google Ads,Midwest,Mid-Market,2024-Q4,9639.85,847198,19448,3234,205,963508.44,21
CMP-0077,LinkedIn Ads,Midwest,Enterprise,2024-Q3,4080.7,695309,11710,1063,83,2710749.07,45
CMP-0078,Trade Shows,Southeast,SMB,2025-Q2,18608.36,1532682,10923,716,61,840903.93,30
CMP-0079,Google Ads,Southeast,SMB,2025-Q2,5921.92,1063733,38892,4261,118,533877.34,14
CMP-0080,Webinars,Southeast,Enterprise,2025-Q1,3995.48,657150,51187,9551,704,19097318.0,45
CMP-0081,LinkedIn Ads,West,SMB,2024-Q3,8616.74,1140297,10704,1007,67,499398.31,30
CMP-0082,LinkedIn Ads,Midwest,Mid-Market,2024-Q3,10888.1,1207996,26602,1886,88,1346885.95,14
CMP-0083,Google Ads,Southeast,Mid-Market,2024-Q4,1240.81,181780,6864,1013,40,355565.14,7
CMP-0084,Google Ads,Northeast,Mid-Market,2025-Q1,7741.07,1237056,63409,4838,209,1964699.22,21
CMP-0085,Email,Southeast,Enterprise,2025-Q1,710.0,134801,8714,1378,150,2772748.34,21
CMP-0086,Trade Shows,International,Mid-Market,2024-Q4,12121.81,1691767,17548,2448,391,8492579.83,14
CMP-0087,Google Ads,Northeast,Mid-Market,2024-Q3,3246.07,355665,19603,3388,178,1729756.6,14
CMP-0088,Email,Midwest,Mid-Market,2025-Q1,770.23,78729,4267,560,49,553644.36,45
CMP-0089,Content/SEO,Northeast,SMB,2025-Q2,2429.62,247016,6572,888,19,105546.01,60
CMP-0090,Trade Shows,International,Mid-Market,2024-Q4,14665.62,2092668,17148,2515,219,7264506.51,30
CMP-0091,Email,Midwest,Mid-Market,2025-Q2,100.0,14869,455,77,10,110189.9,30
CMP-0092,Email,International,Mid-Market,2024-Q4,362.36,72051,1591,79,5,39439.03,60
CMP-0093,Google Ads,West,Enterprise,2024-Q3,3480.28,540490,8207,1485,52,526763.73,30
CMP-0094,Google Ads,Midwest,Mid-Market,2025-Q2,2487.77,268760,6274,353,9,56553.49,30
CMP-0095,Google Ads,Southeast,SMB,2024-Q3,4168.55,773242,19315,3702,241,844134.56,14
CMP-0096,Trade Shows,Midwest,Mid-Market,2024-Q3,20835.51,2948696,47955,4057,427,9469912.62,14
CMP-0097,Content/SEO,International,Enterprise,2025-Q1,2096.55,317989,5069,652,27,310782.89,21
CMP-0098,Trade Shows,Midwest,SMB,2024-Q4,21891.37,1842899,22623,4168,392,6137214.42,21
CMP-0099,LinkedIn Ads,International,SMB,2024-Q3,6766.84,1138354,19292,1778,88,673619.64,21
CMP-0100,Trade Shows,International,SMB,2024-Q3,14917.89,2053751,29334,4073,351,5406445.02,30
CMP-0101,Email,International,SMB,2025-Q2,1036.26,188672,11840,2132,170,940762.91,30
CMP-0102,Content/SEO,Midwest,SMB,2025-Q1,3040.21,245093,5955,1030,31,135310.26,7
CMP-0103,Email,International,Mid-Market,2025-Q1,1061.01,99630,2541,270,19,166157.77,7
CMP-0104,LinkedIn Ads,Southeast,Mid-Market,2025-Q2,6892.95,1203900,17545,1334,98,1302787.7,30
CMP-0105,Email,Southeast,Enterprise,2024-Q4,946.84,78540,3018,160,14,167734.28,30
CMP-0106,Content/SEO,Southeast,Enterprise,2024-Q4,770.13,135063,3201,493,27,568474.74,14
CMP-0107,Trade Shows,West,Enterprise,2024-Q3,14427.05,2259609,27323,2995,536,23143823.42,14
CMP-0108,Google Ads,Northeast,Mid-Market,2025-Q2,2173.56,315574,21793,1610,69,435380.23,21
CMP-0109,Google Ads,International,Enterprise,2024-Q3,4176.75,334757,7163,1001,37,601471.49,30
CMP-0110,Google Ads,West,Enterprise,2024-Q4,6281.48,829089,15846,3132,163,1854553.19,30
CMP-0111,LinkedIn Ads,Midwest,Mid-Market,2024-Q3,7849.62,765421,17758,1161,69,1044900.99,21
CMP-0112,Google Ads,Northeast,Mid-Market,2025-Q2,6546.28,588517,19357,3361,106,679540.43,60
CMP-0113,Google Ads,Southeast,SMB,2024-Q4,4703.53,913359,26920,1847,71,338672.47,30
CMP-0114,Email,Northeast,SMB,2025-Q2,858.5,149388,7862,1115,122,585465.95,30
CMP-0115,Email,Southeast,Mid-Market,2025-Q1,1494.39,134189,6407,378,25,226939.57,45
CMP-0116,Google Ads,West,SMB,2024-Q3,5737.37,801990,36012,4800,138,641759.23,60
CMP-0117,Trade Shows,Midwest,Enterprise,2025-Q1,12488.72,1045034,11135,987,185,8142655.46,30
CMP-0118,Content/SEO,West,Mid-Market,2025-Q2,438.19,73191,3335,410,9,72232.89,30
CMP-0119,Webinars,West,Mid-Market,2024-Q4,5565.21,533080,40381,6354,620,7018663.76,21
CMP-0120,Google Ads,West,Mid-Market,2024-Q4,100.0,15115,519,38,1,7862.25,14
CMP-0121,Content/SEO,Northeast,SMB,2025-Q2,593.72,64216,1360,248,4,15781.17,21
CMP-0122,Content/SEO,Northeast,Mid-Market,2025-Q2,2587.76,285438,7386,767,38,248067.79,21
CMP-0123,Email,Northeast,SMB,2025-Q2,1237.91,181944,7800,1021,61,278692.99,7
CMP-0124,Email,Midwest,Mid-Market,2024-Q3,1486.3,189779,10765,1313,71,785209.68,21
CMP-0125,LinkedIn Ads,West,Enterprise,2024-Q4,8270.46,861966,11357,1715,113,4473967.85,45
CMP-0126,Google Ads,Southeast,Mid-Market,2025-Q1,4800.84,670489,23938,3415,161,1589185.32,7
CMP-0127,Trade Shows,West,Mid-Market,2025-Q1,19195.92,2338617,40316,2979,238,7167759.42,45
CMP-0128,Trade Shows,International,SMB,2024-Q3,11978.31,1893307,17165,2828,268,3906036.32,45
CMP-0129,Webinars,Midwest,SMB,2024-Q3,3680.75,297003,13088,1291,68,293688.31,30
CMP-0130,LinkedIn Ads,Northeast,Mid-Market,2025-Q2,2267.14,201284,3025,425,36,733894.12,21
CMP-0131,LinkedIn Ads,Southeast,SMB,2024-Q4,4364.39,527871,9445,1010,76,395765.71,21
CMP-0132,Email,Southeast,SMB,2025-Q1,698.93,133665,6765,399,24,134035.73,14
CMP-0133,Email,International,Mid-Market,2025-Q1,823.12,123230,6985,443,29,396080.27,60
CMP-0134,Webinars,Midwest,Enterprise,2025-Q2,3658.06,603893,24283,1603,115,2712756.05,60
CMP-0135,Email,Northeast,Mid-Market,2024-Q3,988.78,150486,7060,1220,90,975190.86,14
CMP-0136,Email,Southeast,Mid-Market,2024-Q4,689.87,74798,4216,704,68,607895.61,21
CMP-0137,Content/SEO,Southeast,SMB,2024-Q4,4222.7,422952,7293,1170,30,147818.08,7
CMP-0138,Google Ads,Midwest,Mid-Market,2025-Q2,1847.16,287864,11545,678,27,188124.19,30
CMP-0139,Content/SEO,Southeast,Mid-Market,2025-Q1,3042.61,463651,9917,997,36,340718.88,14
CMP-0140,Email,West,Enterprise,2025-Q2,225.13,34683,1081,125,13,283837.73,7
CMP-0141,Email,Southeast,Mid-Market,2025-Q2,330.96,53065,1649,328,31,457547.57,30
CMP-0142,Email,West,Enterprise,2024-Q3,1015.5,105726,3609,470,43,645994.08,30
CMP-0143,LinkedIn Ads,West,SMB,2025-Q1,2769.22,551345,9025,1706,121,933589.61,21
CMP-0144,Email,Southeast,SMB,2025-Q2,853.42,148360,6377,996,53,203056.29,7
CMP-0145,Trade Shows,Northeast,Mid-Market,2025-Q1,9483.17,1442117,7559,962,115,3399916.35,60
CMP-0146,Webinars,Southeast,Mid-Market,2024-Q3,3622.74,455287,26518,4818,463,5925221.0,30
CMP-0147,LinkedIn Ads,Northeast,Mid-Market,2025-Q1,6841.27,831433,11429,2243,191,3150332.48,14
CMP-0148,Webinars,West,Mid-Market,2024-Q3,5585.31,564008,40004,5015,345,3894833.17,21
CMP-0149,Google Ads,Southeast,Mid-Market,2025-Q1,4613.3,903739,33900,3894,178,959230.86,21
CMP-0150,Google Ads,International,Enterprise,2024-Q4,2566.97,224255,8132,1358,61,867461.11,60
CMP-0151,Google Ads,Northeast,Mid-Market,2024-Q3,3273.19,533725,15597,925,43,344209.63,45
CMP-0152,Email,West,Enterprise,2025-Q2,100.0,9568,569,104,7,120461.33,21
CMP-0153,LinkedIn Ads,International,Mid-Market,2024-Q3,5425.27,747392,12767,675,54,690728.07,14
CMP-0154,Email,Northeast,Mid-Market,2024-Q4,402.36,58645,2614,308,18,178562.58,14
CMP-0155,Content/SEO,Midwest,Mid-Market,2025-Q2,1692.91,329687,11213,784,29,225514.4,60
CMP-0156,Webinars,International,Mid-Market,2024-Q4,6735.96,1071842,53624,9881,1231,20186937.49,7
CMP-0157,Email,Midwest,Enterprise,2025-Q2,1605.35,136456,6397,401,34,635027.52,7
CMP-0158,Google Ads,International,Mid-Market,2025-Q2,1805.75,220236,5265,875,30,267192.53,14
CMP-0159,Google Ads,Southeast,Enterprise,2025-Q2,6397.02,1112429,35971,3027,154,2166136.92,60
CMP-0160,Email,Southeast,Mid-Market,2025-Q2,1382.25,234662,18116,3111,201,2159715.72,14
CMP-0161,Trade Shows,Northeast,Mid-Market,2025-Q1,4171.77,415684,5567,506,64,1772699.52,21
CMP-0162,Google Ads,International,Mid-Market,2025-Q2,5992.37,665224,19106,2514,82,740457.87,60
CMP-0163,Content/SEO,West,Enterprise,2025-Q2,2326.27,447776,11296,637,25,398102.07,30
CMP-0164,Webinars,Midwest,Enterprise,2025-Q2,3963.25,597823,59772,7546,933,14170901.68,30
CMP-0165,Webinars,Northeast,SMB,2025-Q1,3809.37,675821,28246,4554,304,2060772.2,14
CMP-0166,Webinars,Southeast,Enterprise,2024-Q4,4638.82,713437,51001,7812,995,13805061.54,21
CMP-0167,Webinars,Southeast,Enterprise,2024-Q3,4660.75,795831,66861,11787,1340,14806123.2,14
CMP-0168,LinkedIn Ads,West,SMB,2025-Q2,4354.66,694851,11234,564,26,179582.43,21
CMP-0169,LinkedIn Ads,West,Mid-Market,2025-Q1,5816.12,857169,12551,1683,164,2978588.17,45
CMP-0170,LinkedIn Ads,West,Mid-Market,2025-Q1,8289.76,1367160,20253,3408,110,1936655.69,14
CMP-0171,LinkedIn Ads,Northeast,Enterprise,2025-Q2,7432.75,861702,20210,1536,117,4975015.96,14
CMP-0172,Content/SEO,West,Mid-Market,2024-Q3,2356.17,235228,5967,925,49,616360.83,30
CMP-0173,Trade Shows,Midwest,SMB,2024-Q4,12942.9,1620834,18994,2265,112,1193121.01,60
CMP-0174,Content/SEO,Southeast,Enterprise,2025-Q1,1725.77,329130,6096,736,24,321290.0,30
CMP-0175,Trade Shows,Southeast,SMB,2024-Q4,14893.16,1251526,10002,594,31,462443.75,14
CMP-0176,Webinars,Southeast,SMB,2025-Q1,3600.49,692800,48526,2806,138,744864.72,30
CMP-0177,Trade Shows,Southeast,Enterprise,2025-Q1,16467.79,2234216,14872,2911,278,15791569.08,14
CMP-0178,Google Ads,West,Mid-Market,2024-Q3,4901.14,699916,31611,2124,106,974088.11,7
CMP-0179,Content/SEO,Northeast,Mid-Market,2024-Q4,927.86,92686,964,184,7,75484.07,21
CMP-0180,LinkedIn Ads,International,SMB,2025-Q2,5551.98,981415,14199,1688,75,479408.35,14
CMP-0181,LinkedIn Ads,West,Mid-Market,2025-Q2,6394.06,635533,8898,785,52,886295.61,30
CMP-0182,Email,Southeast,Enterprise,2024-Q4,286.82,36394,1242,210,16,188098.38,21
CMP-0183,Google Ads,International,SMB,2025-Q2,7041.26,796880,20624,1997,54,240421.56,45
CMP-0184,Email,West,Mid-Market,2025-Q2,952.03,117644,3784,698,56,433244.09,30
CMP-0185,Google Ads,International,SMB,2025-Q2,4100.94,630871,14241,890,34,142722.55,21
CMP-0186,Trade Shows,International,SMB,2024-Q3,10387.44,2073845,29491,5808,456,6129881.16,30
CMP-0187,Google Ads,West,SMB,2024-Q4,3452.01,679406,14910,1498,61,232777.97,14
CMP-0188,Content/SEO,Northeast,Mid-Market,2025-Q1,672.06,74275,2569,444,15,166280.92,14
CMP-0189,Google Ads,Southeast,Enterprise,2024-Q3,6214.18,1048709,31900,2510,101,2176175.89,30
CMP-0190,Content/SEO,West,Mid-Market,2025-Q1,1510.91,177970,4864,245,6,59724.82,30
CMP-0191,Trade Shows,Midwest,Mid-Market,2024-Q3,12024.49,1060808,7373,1212,209,4712987.48,45
CMP-0192,Google Ads,Northeast,SMB,2024-Q3,5064.42,936446,37488,1875,62,197491.42,21
CMP-0193,Google Ads,International,Mid-Market,2025-Q1,7115.16,978251,27954,1473,59,465680.95,60
CMP-0194,Google Ads,Northeast,Mid-Market,2025-Q1,5581.74,1008817,42095,8304,480,5794115.37,30
CMP-0195,Email,Midwest,SMB,2024-Q4,647.85,57140,2362,211,14,62332.92,14
CMP-0196,Webinars,International,Mid-Market,2025-Q1,4483.42,393370,37324,6777,557,7834940.6,14
CMP-0197,Trade Shows,International,SMB,2025-Q2,15415.61,3074682,26726,4766,386,4859926.98,45
CMP-0198,Email,Northeast,SMB,2024-Q3,906.06,162651,8873,1613,123,1052716.39,21
CMP-0199,LinkedIn Ads,West,Mid-Market,2025-Q1,7714.51,1027615,19818,2795,246,5235920.79,30
CMP-0200,Google Ads,West,Enterprise,2024-Q4,2708.0,370312,8962,1770,81,855704.22,45
CMP-0201,Google Ads,International,Mid-Market,2024-Q4,4109.4,560346,19647,2309,184,1330160.91,21
CMP-0202,LinkedIn Ads,West,Enterprise,2024-Q3,8397.54,721681,13470,2357,161,5076261.4,21
CMP-0203,LinkedIn Ads,Southeast,Mid-Market,2024-Q4,7573.31,864474,13068,2257,190,2899657.16,30
CMP-0204,Google Ads,Midwest,Enterprise,2025-Q1,3701.78,471417,12401,1404,92,1277577.67,30
CMP-0205,Email,Northeast,SMB,2025-Q1,1124.28,95414,5041,911,72,282902.79,45
CMP-0206,Content/SEO,International,Enterprise,2025-Q2,2919.75,375213,9706,952,34,744367.92,30
CMP-0207,Email,Midwest,Mid-Market,2024-Q4,343.69,32268,1455,106,9,72590.2,30
CMP-0208,Email,Midwest,Mid-Market,2025-Q2,1023.51,147281,8727,1023,78,668847.88,45
CMP-0209,Webinars,Northeast,SMB,2024-Q3,3247.12,591692,29232,3232,241,1230970.63,45
CMP-0210,Email,West,SMB,2025-Q1,1676.33,286857,8536,553,33,162546.37,21
CMP-0211,Email,Southeast,Enterprise,2024-Q3,638.31,109425,5119,982,99,1167135.35,21
CMP-0212,Google Ads,Midwest,Mid-Market,2024-Q3,6944.25,1039043,34376,4604,208,1809158.39,14
CMP-0213,Google Ads,Midwest,Mid-Market,2024-Q4,1285.28,125504,3066,377,17,134623.82,21
CMP-0214,LinkedIn Ads,Midwest,SMB,2025-Q2,5535.81,501456,9459,1334,70,568412.38,21
CMP-0215,Google Ads,International,SMB,2025-Q1,6624.47,1093578,30415,2329,141,573710.54,14
CMP-0216,Webinars,West,Mid-Market,2025-Q2,3986.6,418102,22532,3770,270,4005634.18,14
CMP-0217,Content/SEO,Midwest,Enterprise,2024-Q3,2084.78,344627,8399,1562,69,911603.76,30
CMP-0218,LinkedIn Ads,West,Enterprise,2024-Q4,4595.59,805631,15772,1441,108,2306415.28,60
CMP-0219,Email,Southeast,Mid-Market,2025-Q1,1055.91,133451,4831,612,96,909586.02,45
CMP-0220,Trade Shows,Southeast,Mid-Market,2025-Q1,17073.49,3324647,52014,4164,668,16030893.81,45
CMP-0221,Google Ads,Midwest,Mid-Market,2024-Q3,6270.92,1200949,48695,2657,121,1201277.45,30
CMP-0222,Email,West,SMB,2025-Q2,884.66,154998,11705,2324,146,679767.08,30
CMP-0223,Google Ads,International,SMB,2024-Q3,5433.45,1011333,37442,5803,200,671899.43,30
CMP-0224,LinkedIn Ads,West,Mid-Market,2024-Q4,6675.81,1040429,10732,1465,79,1267409.16,45
CMP-0225,Google Ads,West,Enterprise,2024-Q4,1284.88,138620,3528,325,21,290901.7,14
CMP-0226,Email,Northeast,Mid-Market,2024-Q4,823.97,101297,4953,728,27,280112.66,30
CMP-0227,Email,West,Mid-Market,2024-Q4,1122.85,200657,6742,1150,119,2066559.85,14
CMP-0228,Content/SEO,Southeast,Mid-Market,2025-Q1,1305.29,203033,4489,261,7,78833.72,7
CMP-0229,Email,Southeast,SMB,2024-Q4,668.84,120873,5698,288,23,96689.62,14
CMP-0230,Google Ads,Northeast,Enterprise,2024-Q3,3547.56,619658,25776,4737,314,4399062.97,21
CMP-0231,Trade Shows,International,Enterprise,2025-Q1,2805.91,437513,4202,653,118,6799288.54,60
CMP-0232,Content/SEO,Northeast,Mid-Market,2024-Q3,1382.35,240278,5463,800,27,222076.87,60
CMP-0233,Email,Northeast,Mid-Market,2025-Q2,579.79,72112,2249,130,9,120337.85,45
CMP-0234,Webinars,Northeast,Mid-Market,2025-Q1,4756.26,834956,74145,12093,1061,11673546.29,60
CMP-0235,Google Ads,Midwest,Mid-Market,2025-Q2,4776.6,650469,18797,2572,148,1313030.6,30
CMP-0236,Email,International,Mid-Market,2024-Q3,189.87,15630,500,34,2,11798.48,21
CMP-0237,Email,West,Enterprise,2025-Q1,1364.75,183682,7006,631,53,891984.61,45
CMP-0238,Email,Southeast,SMB,2024-Q4,349.38,46209,1806,180,15,63612.9,14
CMP-0239,Email,West,Enterprise,2025-Q1,1036.41,192264,15723,2379,311,5802872.66,30
CMP-0240,LinkedIn Ads,International,Mid-Market,2025-Q2,6244.74,1202020,25642,3602,196,2914997.09,30
CMP-0241,Email,Northeast,Enterprise,2025-Q2,808.35,158059,7622,467,32,509197.21,14
CMP-0242,Google Ads,Southeast,SMB,2025-Q1,2277.08,403806,13913,2022,109,355890.61,14
CMP-0243,LinkedIn Ads,West,Mid-Market,2024-Q4,7968.34,1314190,23122,1371,72,1640283.0,14
CMP-0244,Trade Shows,Midwest,SMB,2025-Q2,25118.03,2239239,22438,2046,190,3125415.18,21
CMP-0245,LinkedIn Ads,Midwest,Enterprise,2024-Q3,7884.18,1268736,22532,1589,123,3446138.74,21
CMP-0246,Content/SEO,Northeast,Enterprise,2025-Q1,100.0,19436,478,61,2,24055.37,45
CMP-0247,Google Ads,Southeast,SMB,2025-Q2,5570.28,682944,27445,4247,177,690974.76,60
CMP-0248,LinkedIn Ads,Southeast,Mid-Market,2025-Q2,2856.32,385569,5542,926,64,1185436.75,45
CMP-0249,Content/SEO,West,SMB,2024-Q4,1510.05,214067,6159,1054,24,91699.23,21
CMP-0250,Webinars,International,Enterprise,2024-Q3,3489.2,493814,35632,4355,389,8818966.21,7
CMP-0251,Google Ads,Midwest,Mid-Market,2024-Q3,3130.74,462375,18756,1946,64,592575.0,14
CMP-0252,Webinars,West,Enterprise,2025-Q1,2889.45,560711,41334,5672,998,15765799.25,21
CMP-0253,Content/SEO,Midwest,Enterprise,2025-Q1,1810.88,314448,10364,1258,36,581791.65,30
CMP-0254,Google Ads,Midwest,Mid-Market,2024-Q4,100.0,17730,602,105,6,38744.56,30
CMP-0255,Content/SEO,Midwest,Mid-Market,2024-Q3,221.41,29011,798,44,1,8164.36,7
CMP-0256,LinkedIn Ads,International,SMB,2025-Q2,3671.22,427597,5662,478,34,300478.03,45
CMP-0257,LinkedIn Ads,Southeast,SMB,2024-Q3,7658.99,779636,16698,1763,134,712458.96,30
CMP-0258,Google Ads,Southeast,SMB,2025-Q1,4766.51,535096,10131,1461,30,113152.04,60
CMP-0259,Email,Midwest,SMB,2024-Q4,1085.22,109228,6556,1284,61,294156.09,14
CMP-0260,Google Ads,Northeast,Enterprise,2024-Q4,5831.85,658349,23907,4089,190,2195623.7,14
CMP-0261,Trade Shows,Midwest,Enterprise,2024-Q3,17288.86,3348003,55328,6884,750,31235662.68,30
CMP-0262,Content/SEO,Southeast,Enterprise,2025-Q1,482.13,79350,1782,307,14,229069.01,7
